iter	Passed	Remaining
816	5707	1278
817	5714	1271
818	5721	1264
819	5727	1257
820	5734	1250
821	5740	1243
822	5746	1235
823	5753	1228
824	5759	1221
825	5764	1214
826	5771	1207
827	5776	1199
828	5782	1192
829	5788	1185
830	5793	1178
831	5799	1171
832	5805	1163
833	5810	1156
834	5817	1149
835	5823	1142
836	5831	1135
837	5837	1128
838	5843	1121
839	5852	1114
840	5865	1109
841	5873	1102
842	5881	1095
843	5888	1088
844	5899	1082
845	5906	1075
846	5915	1068
847	5924	1061
848	5930	1054
849	5936	1047
850	5942	1040
851	5949	1033
852	5954	1026
853	5961	1019
854	5967	1012
855	5973	1004
856	5979	997
857	5985	990
858	5990	983
859	5996	976
860	6001	968
861	6006	961
862	6014	954
863	6020	947
864	6028	940
865	6034	933
866	6041	926
867	6047	919
868	6053	912
869	6059	905
870	6064	898
871	6070	891
872	6076	884
873	6081	876
874	6086	869
875	6093	862
876	6098	855
877	6103	848
878	6109	841
879	6115	833
880	6121	826
881	6127	819
882	6134	812
883	6141	805
884	6147	798
885	6152	791
886	6158	784
887	6164	777
888	6172	770
889	6177	763
890	6182	756
891	6188	749
892	6194	742
893	6199	735
894	6206	728
895	6211	721
896	6217	713
897	6224	706
898	6230	699
899	6237	693
900	6243	686
901	6249	679
902	6255	672
903	6261	664
904	6267	657
905	6273	650
906	6278	643
907	6284	636
908	6290	629
909	6295	622
910	6302	615
911	6307	608
912	6314	601
913	6320	594
914	6325	587
915	6331	580
916	6338	573
917	6345	566
918	6351	559
919	6357	552
920	6364	545
921	6369	538
922	6374	531
923	6381	524
924	6386	517
925	6391	510
926	6397	503
927	6403	496
928	6409	489
929	6416	482
930	6421	475
931	6427	468
932	6433	462
933	6440	455
934	6447	448
935	6453	441
936	6460	434
937	6465	427
938	6470	420
939	6477	413
940	6482	406
941	6488	399
942	6494	392
943	6500	385
944	6506	378
945	6512	371
946	6518	364
947	6524	357
948	6531	350
949	6538	344
950	6544	337
951	6549	330
952	6556	323
953	6562	316
954	6568	309
955	6575	302
956	6582	295
957	6589	288
958	6595	281
959	6603	275
960	6610	268
961	6616	261
962	6625	254
963	6631	247
964	6638	240
965	6645	233
966	6652	227
967	6660	220
968	6666	213
969	6672	206
970	6678	199
971	6685	192
972	6691	185
973	6697	178
974	6704	171
975	6709	164
976	6715	158
977	6721	151
978	6726	144
979	6732	137
980	6739	130
981	6745	123
982	6751	116
983	6757	109
984	6763	102
985	6768	96
986	6774	89
987	6781	82
988	6787	75
989	6792	68
990	6799	61
991	6805	54
992	6811	48
993	6817	41
994	6822	34
995	6829	27
996	6835	20
997	6840	13
998	6846	6
999	6853	0
