iter	MultiClass
754	0.07208816314
755	0.07192550148
756	0.07182492299
757	0.07170782467
758	0.0715089379
759	0.07137393505
760	0.07129129442
761	0.07111194131
762	0.07088180649
763	0.07079919582
764	0.07065964117
765	0.07050434429
766	0.07043458842
767	0.07029046536
768	0.07020585315
769	0.06995995379
770	0.06985675562
771	0.06975080385
772	0.06959024397
773	0.06946976813
774	0.06936992857
775	0.06925959677
776	0.06911623207
777	0.06897525068
778	0.0687585896
779	0.06867301257
780	0.06851488786
781	0.06842908652
782	0.06828652626
783	0.0681675474
784	0.06805632944
785	0.06796024719
786	0.0678462116
787	0.06776708167
788	0.06759906828
789	0.06738074195
790	0.06729571488
791	0.06713549577
792	0.06704197458
793	0.06691264139
794	0.06682922952
795	0.0667501909
796	0.06658795297
797	0.06646482907
798	0.06625940018
799	0.06619400115
800	0.06612025345
801	0.06604101905
802	0.06596875196
803	0.06580215964
804	0.06572264909
805	0.06557781802
806	0.06551768144
807	0.0653557203
808	0.0651437561
809	0.0650618679
810	0.06497683107
811	0.06490416479
812	0.06480651787
813	0.06467723995
814	0.06459187428
815	0.06446536116
816	0.06435312246
817	0.06421792096
818	0.06413515164
819	0.06405168351
820	0.06382110682
821	0.06373283766
822	0.06367963721
823	0.06354930048
824	0.06348657986
825	0.06343940102
826	0.06336579289
827	0.06325112673
828	0.06310824757
829	0.06305450721
830	0.06291470322
831	0.06274555253
832	0.06266527688
833	0.06257007995
834	0.06253973922
835	0.06248133816
836	0.06239855943
837	0.062361923
838	0.06218350171
839	0.06212296817
840	0.06204391543
841	0.06193228287
842	0.06182805138
843	0.06175070216
844	0.06164697703
845	0.06151752889
846	0.06141622181
847	0.0613290755
848	0.06120741469
849	0.06105996393
850	0.06089933892
851	0.06086843786
852	0.06077891879
853	0.06067538072
854	0.06061970633
855	0.06049513491
856	0.06044252738
857	0.06036097119
858	0.0603250917
859	0.0601231033
860	0.06002553911
861	0.05994470055
862	0.05983577075
863	0.05966624382
864	0.05958560255
865	0.05944253739
866	0.05936012608
867	0.05918425141
868	0.05912301914
869	0.05905789487
870	0.05895714982
871	0.0588600525
872	0.05879587133
873	0.05869164966
874	0.05865117713
875	0.05852689942
876	0.05845275318
877	0.05843332587
878	0.05832297643
879	0.05824828003
880	0.05814343453
881	0.05801928722
882	0.05791987347
883	0.05786267236
884	0.05773246452
885	0.05763303211
886	0.05759638313
887	0.05749748358
888	0.05737327116
889	0.05727668379
890	0.05714639214
891	0.05702100967
892	0.05688203149
893	0.05684076193
894	0.05679332242
895	0.05670097393
896	0.05665277949
897	0.05659642304
898	0.05647760129
899	0.05634780046
900	0.05624653253
901	0.05617944899
902	0.05608189266
903	0.05597197668
904	0.05589283538
905	0.05580494659
906	0.05572231748
907	0.05568646462
908	0.0555473994
909	0.05549828767
910	0.0554184027
911	0.05534684389
912	0.05525650594
913	0.05516733691
914	0.05511356927
915	0.05500907454
916	0.05494984169
917	0.05485110076
918	0.0546434905
919	0.05455666023
920	0.05447138696
921	0.05439833415
922	0.05433521288
923	0.05426868798
924	0.0542200025
925	0.0541763809
926	0.05415760419
927	0.05409939439
928	0.054011452
929	0.05389847866
930	0.05382726805
931	0.05376033693
932	0.0537107775
933	0.0535761507
934	0.05345885501
935	0.05342931211
936	0.05335507286
937	0.05333434335
938	0.05328374965
939	0.05323138192
940	0.05312827234
941	0.05304229055
942	0.05299855691
943	0.0529709438
944	0.0529377769
945	0.05285878069
946	0.05283145852
947	0.05276810314
948	0.05264138068
949	0.05256051033
950	0.05246939411
951	0.05241526764
952	0.05231596438
953	0.05224040204
954	0.05218109683
955	0.05209015711
956	0.05202331804
957	0.05194367721
958	0.05189320863
959	0.05180067579
960	0.05176061288
961	0.05170814251
962	0.05160024617
963	0.05153302623
964	0.05142387454
965	0.05136100278
966	0.0512854947
967	0.05121791033
968	0.05115246197
969	0.05108751469
970	0.05100934395
971	0.05094948798
972	0.05085596212
973	0.05075094899
974	0.05068908185
975	0.05063104469
976	0.050577498
977	0.05050967531
978	0.05043951141
979	0.05038784381
980	0.05034568375
981	0.05026873184
982	0.05017507515
983	0.05010766302
984	0.05001615099
985	0.04992020876
986	0.04989386605
987	0.04984735478
988	0.04981093971
989	0.04973920247
990	0.04967427036
991	0.0495524151
992	0.04950068742
993	0.04944905283
994	0.04938572023
995	0.0493601648
996	0.04930350244
997	0.04927502677
998	0.04923227535
999	0.04919585115
57
999	0.04785679375
